CODIGO,NACIONALIDAD,PAIS
1,PANAMEÑA,PANAMA
2,SALVADOREÑA,SALVADOR
3,ESPAÑOLA,ESPAÑA
4,PERUANA,PERU
5,CHILENA,CHILE
6,CUBANA,CUBA
7,FRANCESA,FRANCIA
8,MEXICANA,MEXICO
9,NICARAGUENCE,NICARAGUA
10,ARGENTINA,ARGENTINA
11,COLOMBIANA,COLOMBIA
12,CHINA,CHINA
13,ESTADOUNIDENSE,ESTADOS UNIDOS
14,HINDU,INDIA
15,ECUATORIANA,ECUADOR
16,ALEMANA,ALEMANIA
17,JAPONESA,JAPON
18,COSTARRICENSE,COSTA RICA
19,GUATEMALTECA,GUATEMALA
20,JAMAIQUINA,JAMAICA
21,PUERTORRIQUEÑA,PUERTO RICO
22,INGLESA,INGLATERRA
23,EGIPCIA,EGIPTO
24,CANADIENSE,CANADA
25,ISRAELI,ISRAEL
26,URUGUAYA,URUGUAY
27,GRIEGA,GRECIA
28,HOLANDESA,HOLANDA
29,HONDUREÑA,HONDURAS
30,VENEZOLANA,VENEZUELA
31,BELICEÑA,BELICE
32,ITALIANA,ITALIA
33,BELGA,BELGICA
34,FILIPINA,FILIPINAS
35,KOREANO,KOREA
36,PORTUGUESA,PORTUGAL
37,JORDANES,JORDANIA
38,BRASILEÑA,BRASIL
39,SUIZO,SUIZA
40,DOMINICANO,REPUBLICA DOMINICANA
41,BOLIVIANO,BOLIVIA
42,TUNECINA,TUNEZ
43,AUSTRALIANA,AUSTRALIA
44,NEO ZELANDES,NUEVA ZELANDA
45,RUSO,RUSIA
46,ESCOCES,ESCOCIA
47,NORUEGA,NORUEGA
48,PARAGUAYA,PARAGUAY
49,TAILANDESA,TAILANDIA
50,RUMANO,RUMANIA
51,IRANI,IRAN
52,BARBADOS,ISLA DE BARBADOS
53,HAITIANA,HAITI
54,HUNGARA,HUNGRIA
55,YUGOSLAVA,YUGOSLAVIA
56,TRINITARIO,TRINIDAD Y TOBAGO
57,LIBANESA,LIBANO
58,VIETNAMITA,VIETNAN
59,BULGARO,BULGARIA
60,LIBIA,LIBIA
61,DANES,DINAMARCA
62,BRITANICO,GRAN BRETANIA
63,PAKISTANI,PAKISTAN
64,FINLANDES,FINLANDIA
65,SUDAFRICANO,SUD AFRICA
66,PREBA,PRUEBA
67,BIRMANO,BIRMANIA
68,AFGANA,AFGANISTAN
69,AFRICANA,AFRICA CENTRAL
70,AFRICANA,AFRICA DEL SUR
71,ALBANA,ALBANIA
72,ANDORRANA,ANDORRA
73,ANGOLANA,ANGOLA
74,ANGUILLANA,ANGUILLA
75,ANTIGUANA,ANTIGUA
76,ANTILLANA HOLANDESA,ANTILLAS HOLANDESAS
77,ARABE SAUDI,ARABIA SAUDITA
78,ARGELINA,ARGELIA
79,ARMENIANA,ARMENIA
80,ARUBANA,ARUBA
81,AUSTRIANA,AUSTRIA
82,AZERBAYANA,AZERBAYAN
83,BAHAMAS,BAHAMAS
84,BAHREINA,BAHREIN
85,BANGLADESHA,BANGLADESH
86,BENINA,BENIN
87,BERMUDAS,BERMUDAS
88,BUTANA,BUTAN
89,BIELORUSIA,BIELORUSIA
90,BOSNIO,BOSNIA-HERZEGOVINA
91,SIRIO,SIRIA
92,SURINAM,SURINAM
93,TURCA,REPÚBLICA DE TURQUÍA
94,SINGAPURENSE,SINGAPUR
95,UCRANIANO,UCRANIA
96,TAIWANES,TAIWAN
97,PAKISTANI,PAKISTAN
